"body_mass_value","migration_strategy","population"
430.58,"for_strat_aerial",0
435.62,"for_strat_watbelowsurf",0
435.62,"for_strat_wataroundsurf",0
435.62,"for_strat_ground",100
435.62,"for_strat_understory",0
435.62,"for_strat_midhigh",0
435.62,"for_strat_canopy",0
435.62,"for_strat_aerial",0
411.51,"for_strat_watbelowsurf",0
411.51,"for_strat_wataroundsurf",0
411.51,"for_strat_ground",80
411.51,"for_strat_understory",20
411.51,"for_strat_midhigh",0
411.51,"for_strat_canopy",0
411.51,"for_strat_aerial",0
485,"for_strat_watbelowsurf",0
485,"for_strat_wataroundsurf",0
485,"for_strat_ground",100
485,"for_strat_understory",0
485,"for_strat_midhigh",0
485,"for_strat_canopy",0
485,"for_strat_aerial",0
426,"for_strat_watbelowsurf",0
426,"for_strat_wataroundsurf",0
426,"for_strat_ground",80
426,"for_strat_understory",20
426,"for_strat_midhigh",0
426,"for_strat_canopy",0
426,"for_strat_aerial",0
561.99,"for_strat_watbelowsurf",0
561.99,"for_strat_wataroundsurf",0
561.99,"for_strat_ground",100
561.99,"for_strat_understory",0
561.99,"for_strat_midhigh",0
561.99,"for_strat_canopy",0
561.99,"for_strat_aerial",0
453,"for_strat_watbelowsurf",0
453,"for_strat_wataroundsurf",0
453,"for_strat_ground",80
453,"for_strat_understory",20
453,"for_strat_midhigh",0
453,"for_strat_canopy",0
453,"for_strat_aerial",0
378,"for_strat_watbelowsurf",0
378,"for_strat_wataroundsurf",0
378,"for_strat_ground",100
378,"for_strat_understory",0
378,"for_strat_midhigh",0
378,"for_strat_canopy",0
378,"for_strat_aerial",0
411.51,"for_strat_watbelowsurf",0
411.51,"for_strat_wataroundsurf",0
411.51,"for_strat_ground",80
411.51,"for_strat_understory",20
411.51,"for_strat_midhigh",0
411.51,"for_strat_canopy",0
411.51,"for_strat_aerial",0
241,"for_strat_watbelowsurf",0
241,"for_strat_wataroundsurf",0
241,"for_strat_ground",80
241,"for_strat_understory",20
241,"for_strat_midhigh",0
241,"for_strat_canopy",0
241,"for_strat_aerial",0
198.99,"for_strat_watbelowsurf",0
198.99,"for_strat_wataroundsurf",0
198.99,"for_strat_ground",100
198.99,"for_strat_understory",0
198.99,"for_strat_midhigh",0
198.99,"for_strat_canopy",0
198.99,"for_strat_aerial",0
411.51,"for_strat_watbelowsurf",0
411.51,"for_strat_wataroundsurf",0
411.51,"for_strat_ground",80
411.51,"for_strat_understory",20
411.51,"for_strat_midhigh",0
411.51,"for_strat_canopy",0
411.51,"for_strat_aerial",0
218.8,"for_strat_watbelowsurf",0
218.8,"for_strat_wataroundsurf",0
218.8,"for_strat_ground",50
218.8,"for_strat_understory",50
218.8,"for_strat_midhigh",0
218.8,"for_strat_canopy",0
218.8,"for_strat_aerial",0
843.47,"for_strat_watbelowsurf",0
843.47,"for_strat_wataroundsurf",0
843.47,"for_strat_ground",80
843.47,"for_strat_understory",20
843.47,"for_strat_midhigh",0
843.47,"for_strat_canopy",0
843.47,"for_strat_aerial",0
475.31,"for_strat_watbelowsurf",0
475.31,"for_strat_wataroundsurf",0
475.31,"for_strat_ground",80
475.31,"for_strat_understory",20
475.31,"for_strat_midhigh",0
475.31,"for_strat_canopy",0
475.31,"for_strat_aerial",0
619.27,"for_strat_watbelowsurf",0
619.27,"for_strat_wataroundsurf",0
619.27,"for_strat_ground",60
619.27,"for_strat_understory",40
619.27,"for_strat_midhigh",0
619.27,"for_strat_canopy",0
619.27,"for_strat_aerial",0
300.73,"for_strat_watbelowsurf",0
300.73,"for_strat_wataroundsurf",0
300.73,"for_strat_ground",100
300.73,"for_strat_understory",0
300.73,"for_strat_midhigh",0
300.73,"for_strat_canopy",0
300.73,"for_strat_aerial",0
523.89,"for_strat_watbelowsurf",0
523.89,"for_strat_wataroundsurf",0
523.89,"for_strat_ground",80
523.89,"for_strat_understory",20
523.89,"for_strat_midhigh",0
523.89,"for_strat_canopy",0
523.89,"for_strat_aerial",0
458,"for_strat_watbelowsurf",0
458,"for_strat_wataroundsurf",0
458,"for_strat_ground",80
458,"for_strat_understory",20
458,"for_strat_midhigh",0
458,"for_strat_canopy",0
458,"for_strat_aerial",0
376,"for_strat_watbelowsurf",0
376,"for_strat_wataroundsurf",0
376,"for_strat_ground",80
376,"for_strat_understory",20
376,"for_strat_midhigh",0
376,"for_strat_canopy",0
376,"for_strat_aerial",0
244.58,"for_strat_watbelowsurf",0
244.58,"for_strat_wataroundsurf",0
244.58,"for_strat_ground",100
244.58,"for_strat_understory",0
244.58,"for_strat_midhigh",0
244.58,"for_strat_canopy",0
244.58,"for_strat_aerial",0
226.08,"for_strat_watbelowsurf",0
226.08,"for_strat_wataroundsurf",0
