"ioc_order","bl_family_english","scientific","english","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant_o","diet_5cat","for_strat_watbelowsurf","for_strat_wataroundsurf","for_strat_ground","for_strat_understory","for_strat_midhigh","for_strat_canopy","for_strat_aerial","nocturnal","body_mass_value"
"Tinamiformes","Tinamous","Crypturellus cinereus","Cinereous Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,100,0,0,0,0,0,506.63
"Tinamiformes","Tinamous","Crypturellus soui","Little Tinamou",20,0,0,0,0,0,40,0,20,20,"Omnivore",0,0,100,0,0,0,0,0,216.16
"Tinamiformes","Tinamous","Crypturellus ptaritepui","Tepui Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,411.51
"Tinamiformes","Tinamous","Crypturellus obsoletus","Brown Tinamou",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,100,0,0,0,0,0,443.4
"Tinamiformes","Tinamous","Crypturellus cinnamomeus","Thicket Tinamou",30,0,10,0,0,0,30,0,30,0,"Omnivore",0,0,100,0,0,0,0,0,422
"Tinamiformes","Tinamous","Crypturellus undulatus","Undulated Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,100,0,0,0,0,0,564.42
"Tinamiformes","Tinamous","Crypturellus transfasciatus","Pale-browed Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,283
"Tinamiformes","Tinamous","Crypturellus strigulosus","Brazilian Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,430.58
"Tinamiformes","Tinamous","Crypturellus boucardi","Slaty-breasted Tinamou",20,0,0,0,0,0,40,0,40,0,"Omnivore",0,0,100,0,0,0,0,0,435.62
"Tinamiformes","Tinamous","Crypturellus kerriae","Choco Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,411.51
"Tinamiformes","Tinamous","Crypturellus erythropus","Red-legged Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,100,0,0,0,0,0,485
"Tinamiformes","Tinamous","Crypturellus duidae","Grey-legged Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,426
"Tinamiformes","Tinamous","Crypturellus noctivagus","Yellow-legged Tinamou",30,0,0,0,0,0,0,0,30,40,"PlantSeed",0,0,100,0,0,0,0,0,561.99
"Tinamiformes","Tinamous","Crypturellus atrocapillus","Black-capped Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,453
"Tinamiformes","Tinamous","Crypturellus variegatus","Variegated Tinamou",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,100,0,0,0,0,0,378
"Tinamiformes","Tinamous","Crypturellus brevirostris","Rusty Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,411.51
"Tinamiformes","Tinamous","Crypturellus bartletti","Bartlett's Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,241
"Tinamiformes","Tinamous","Crypturellus parvirostris","Small-billed Tinamou",40,0,0,0,0,0,0,0,60,0,"PlantSeed",0,0,100,0,0,0,0,0,198.99
"Tinamiformes","Tinamous","Crypturellus casiquiare","Barred Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,411.51
"Tinamiformes","Tinamous","Crypturellus tataupa","Tataupa Tinamou",50,0,0,0,0,0,0,0,30,20,"Omnivore",0,0,50,50,0,0,0,0,218.8
"Tinamiformes","Tinamous","Rhynchotus rufescens","Red-winged Tinamou",40,0,0,0,10,0,0,0,30,20,"Omnivore",0,0,80,20,0,0,0,0,843.47
"Tinamiformes","Tinamous","Nothoprocta taczanowskii","Taczanowski's Tinamou",40,0,0,0,0,0,10,0,20,30,"Omnivore",0,0,80,20,0,0,0,0,475.31
"Tinamiformes","Tinamous","Nothoprocta ornata","Ornate Tinamou",20,0,0,0,0,0,10,0,20,50,"PlantSeed",0,0,60,40,0,0,0,0,619.27
"Tinamiformes","Tinamous","Nothoprocta pentlandii","Andean Tinamou",20,0,0,0,0,0,10,0,20,50,"PlantSeed",0,0,100,0,0,0,0,0,300.73
"Tinamiformes","Tinamous","Nothoprocta cinerascens","Brushland Tinamou",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,80,20,0,0,0,0,523.89
"Tinamiformes","Tinamous","Nothoprocta perdicaria","Chilean Tinamou",40,0,0,0,0,0,10,0,20,30,"Omnivore",0,0,80,20,0,0,0,0,458
"Tinamiformes","Tinamous","Nothoprocta curvirostris","Curve-billed Tinamou",40,0,0,0,0,0,10,0,20,30,"Omnivore",0,0,80,20,0,0,0,0,376
"Tinamiformes","Tinamous","Nothura darwinii","Darwin's Nothura",50,0,0,0,0,0,0,0,40,10,"Omnivore",0,0,100,0,0,0,0,0,244.58
"Tinamiformes","Tinamous","Nothura chacoensis","Chaco Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore",0,0,100,0,0,0,0,0,226.08
"Tinamiformes","Tinamous","Nothura maculosa","Spotted Nothura",40,0,0,0,0,0,30,0,30,0,"Omnivore",0,0,100,0,0,0,0,0,257.48
"Tinamiformes","Tinamous","Nothura minor","Lesser Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore",0,0,100,0,0,0,0,0,165.8
"Tinamiformes","Tinamous","Nothura boraquira","White-bellied Nothura",40,0,0,0,0,0,20,0,40,0,"Omnivore",0,0,100,0,0,0,0,0,283
"Tinamiformes","Tinamous","Taoniscus nanus","Dwarf Tinamou",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,80,20,0,0,0,0,43
"Tinamiformes","Tinamous","Eudromia elegans","Elegant Crested-tinamou",30,0,0,0,0,0,0,0,40,30,"PlantSeed",0,0,80,20,0,0,0,0,702.9
"Tinamiformes","Tinamous","Eudromia formosa","Quebracho Crested-tinamou",30,0,0,0,0,0,0,0,40,30,"PlantSeed",0,0,100,0,0,0,0,0,772.93
"Tinamiformes","Tinamous","Tinamotis pentlandii","Puna Tinamou",0,0,0,0,0,0,0,0,40,60,"PlantSeed",0,0,100,0,0,0,0,0,650
"Tinamiformes","Tinamous","Tinamotis ingoufi","Patagonian Tinamou",0,0,0,0,0,0,0,0,40,60,"PlantSeed",0,0,60,40,0,0,0,0,730
"Galliformes","Guans and curassows","Ortalis vetula","Plain Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect",0,0,0,0,50,50,0,0,562.6
"Galliformes","Guans and curassows","Ortalis cinereiceps","Grey-headed Chachalaca",0,0,0,0,0,0,80,0,0,20,"FruiNect",0,0,20,0,40,40,0,0,493
"Galliformes","Guans and curassows","Ortalis garrula","Chestnut-winged Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect",0,0,0,0,50,50,0,0,532
"Galliformes","Guans and curassows","Ortalis ruficauda","Rufous-vented Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect",0,0,20,0,40,40,0,0,586.24
"Galliformes","Guans and curassows","Ortalis erythroptera","Rufous-headed Chachalaca",0,0,0,0,0,0,50,0,0,50,"Omnivore",0,0,20,0,40,40,0,0,632
"Galliformes","Guans and curassows","Ortalis wagleri","Rufous-bellied Chachalaca",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,50,50,0,0,833.99
"Galliformes","Guans and curassows","Ortalis poliocephala","West Mexican Chachalaca",0,0,0,0,0,0,30,0,30,40,"PlantSeed",0,0,0,0,50,50,0,0,760
"Galliformes","Guans and curassows","Ortalis canicollis","Chaco Chachalaca",20,0,0,0,0,0,30,0,10,40,"Omnivore",0,0,20,0,40,40,0,0,539
"Galliformes","Guans and curassows","Ortalis leucogastra","White-bellied Chachalaca",10,0,0,0,0,0,70,0,0,20,"FruiNect",0,0,10,10,80,0,0,0,495.82
"Galliformes","Guans and curassows","Ortalis guttata","Speckled Chachalaca",0,0,0,0,0,0,90,0,10,0,"FruiNect",0,0,0,0,50,50,0,0,547.72
"Galliformes","Guans and curassows","Ortalis motmot","Little Chachalaca",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,33,0,33,33,0,0,520
"Galliformes","Guans and curassows","Ortalis superciliaris","Buff-browed Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect",0,0,20,0,40,40,0,0,578.6
"Galliformes","Guans and curassows","Penelope argyrotis","Band-tailed Guan",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,20,0,40,40,0,0,806.71
"Galliformes","Guans and curassows","Penelope barbata","Bearded Guan",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,33,0,33,33,0,0,1179.66
"Galliformes","Guans and curassows","Penelope ortoni","Baudo Guan",0,0,0,0,0,0,80,0,0,20,"FruiNect",0,0,20,0,50,30,0,0,1179.66
"Galliformes","Guans and curassows","Penelope montagnii","Andean Guan",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,0,0,100,0,0,0,706
"Galliformes","Guans and curassows","Penelope marail","Marail Guan",0,0,0,0,0,0,100,0,0,0,"FruiNect",0,0,20,0,40,40,0,0,879.67
"Galliformes","Guans and curassows","Penelope superciliaris","Rusty-margined Guan",10,0,0,0,0,0,90,0,0,0,"FruiNect",0,0,33,0,33,33,0,0,894.99
