"body_mass_value","diet_type","population"
561.99,"inv",30
561.99,"vend",0
561.99,"vect",0
561.99,"vfish",0
561.99,"vunk",0
561.99,"scav",0
561.99,"fruit",0
561.99,"nect",0
561.99,"seed",30
561.99,"plant_o",40
453,"inv",30
453,"vend",0
453,"vect",0
453,"vfish",0
453,"vunk",0
453,"scav",0
453,"fruit",20
453,"nect",0
453,"seed",40
453,"plant_o",10
378,"inv",0
378,"vend",0
378,"vect",0
378,"vfish",0
378,"vunk",0
378,"scav",0
378,"fruit",100
378,"nect",0
378,"seed",0
378,"plant_o",0
411.51,"inv",30
411.51,"vend",0
411.51,"vect",0
411.51,"vfish",0
411.51,"vunk",0
411.51,"scav",0
411.51,"fruit",20
411.51,"nect",0
411.51,"seed",40
411.51,"plant_o",10
241,"inv",30
241,"vend",0
241,"vect",0
241,"vfish",0
241,"vunk",0
241,"scav",0
241,"fruit",20
241,"nect",0
241,"seed",40
241,"plant_o",10
198.99,"inv",40
198.99,"vend",0
198.99,"vect",0
198.99,"vfish",0
198.99,"vunk",0
198.99,"scav",0
198.99,"fruit",0
198.99,"nect",0
198.99,"seed",60
198.99,"plant_o",0
411.51,"inv",30
411.51,"vend",0
411.51,"vect",0
411.51,"vfish",0
411.51,"vunk",0
411.51,"scav",0
411.51,"fruit",20
411.51,"nect",0
411.51,"seed",40
411.51,"plant_o",10
218.8,"inv",50
218.8,"vend",0
218.8,"vect",0
218.8,"vfish",0
218.8,"vunk",0
218.8,"scav",0
218.8,"fruit",0
218.8,"nect",0
218.8,"seed",30
218.8,"plant_o",20
843.47,"inv",40
843.47,"vend",0
843.47,"vect",0
843.47,"vfish",0
843.47,"vunk",10
843.47,"scav",0
843.47,"fruit",0
843.47,"nect",0
843.47,"seed",30
843.47,"plant_o",20
475.31,"inv",40
475.31,"vend",0
475.31,"vect",0
475.31,"vfish",0
475.31,"vunk",0
475.31,"scav",0
475.31,"fruit",10
475.31,"nect",0
475.31,"seed",20
475.31,"plant_o",30
619.27,"inv",20
619.27,"vend",0
619.27,"vect",0
619.27,"vfish",0
619.27,"vunk",0
619.27,"scav",0
619.27,"fruit",10
619.27,"nect",0
619.27,"seed",20
619.27,"plant_o",50
300.73,"inv",20
300.73,"vend",0
300.73,"vect",0
300.73,"vfish",0
300.73,"vunk",0
300.73,"scav",0
300.73,"fruit",10
300.73,"nect",0
300.73,"seed",20
300.73,"plant_o",50
523.89,"inv",60
523.89,"vend",0
523.89,"vect",0
523.89,"vfish",0
523.89,"vunk",0
523.89,"scav",0
523.89,"fruit",20
523.89,"nect",0
523.89,"seed",20
523.89,"plant_o",0
458,"inv",40
458,"vend",0
458,"vect",0
458,"vfish",0
458,"vunk",0
458,"scav",0
458,"fruit",10
458,"nect",0
458,"seed",20
458,"plant_o",30
376,"inv",40
376,"vend",0
376,"vect",0
376,"vfish",0
376,"vunk",0
376,"scav",0
376,"fruit",10
376,"nect",0
376,"seed",20
376,"plant_o",30
244.58,"inv",50
244.58,"vend",0
244.58,"vect",0
244.58,"vfish",0
244.58,"vunk",0
244.58,"scav",0
244.58,"fruit",0
244.58,"nect",0
244.58,"seed",40
244.58,"plant_o",10
226.08,"inv",40
226.08,"vend",0
226.08,"vect",0
226.08,"vfish",0
226.08,"vunk",0
226.08,"scav",0
226.08,"fruit",20
226.08,"nect",0
226.08,"seed",40
226.08,"plant_o",0
257.48,"inv",40
257.48,"vend",0
257.48,"vect",0
257.48,"vfish",0
257.48,"vunk",0
257.48,"scav",0
257.48,"fruit",30
257.48,"nect",0
257.48,"seed",30
257.48,"plant_o",0
165.8,"inv",40
165.8,"vend",0
165.8,"vect",0
165.8,"vfish",0
165.8,"vunk",0
165.8,"scav",0
165.8,"fruit",20
165.8,"nect",0
165.8,"seed",40
165.8,"plant_o",0
283,"inv",40
283,"vend",0
283,"vect",0
283,"vfish",0
283,"vunk",0
283,"scav",0
283,"fruit",20
283,"nect",0
283,"seed",40
283,"plant_o",0
43,"inv",50
43,"vend",0
43,"vect",0
43,"vfish",0
43,"vunk",0
43,"scav",0
43,"fruit",0
43,"nect",0
43,"seed",50
43,"plant_o",0
702.9,"inv",30
702.9,"vend",0
702.9,"vect",0
702.9,"vfish",0
702.9,"vunk",0
702.9,"scav",0
702.9,"fruit",0
702.9,"nect",0
702.9,"seed",40
702.9,"plant_o",30
772.93,"inv",30
772.93,"vend",0
772.93,"vect",0
772.93,"vfish",0
772.93,"vunk",0
772.93,"scav",0
772.93,"fruit",0
772.93,"nect",0
772.93,"seed",40
772.93,"plant_o",30
650,"inv",0
650,"vend",0
650,"vect",0
650,"vfish",0
650,"vunk",0
650,"scav",0
650,"fruit",0
650,"nect",0
650,"seed",40
650,"plant_o",60
730,"inv",0
730,"vend",0
730,"vect",0
730,"vfish",0
730,"vunk",0
730,"scav",0
730,"fruit",0
730,"nect",0
730,"seed",40
730,"plant_o",60
562.6,"inv",0
562.6,"vend",0
562.6,"vect",0
562.6,"vfish",0
562.6,"vunk",0
562.6,"scav",0
562.6,"fruit",60
562.6,"nect",0
562.6,"seed",0
562.6,"plant_o",40
493,"inv",0
493,"vend",0
493,"vect",0
493,"vfish",0
493,"vunk",0
493,"scav",0
493,"fruit",80
493,"nect",0
493,"seed",0
493,"plant_o",20
532,"inv",0
532,"vend",0
532,"vect",0
532,"vfish",0
532,"vunk",0
532,"scav",0
532,"fruit",60
532,"nect",0
532,"seed",0
532,"plant_o",40
586.24,"inv",0
586.24,"vend",0
586.24,"vect",0
586.24,"vfish",0
586.24,"vunk",0
586.24,"scav",0
586.24,"fruit",60
586.24,"nect",0
586.24,"seed",0
586.24,"plant_o",40
632,"inv",0
632,"vend",0
632,"vect",0
632,"vfish",0
632,"vunk",0
632,"scav",0
632,"fruit",50
632,"nect",0
632,"seed",0
632,"plant_o",50
833.99,"inv",0
833.99,"vend",0
833.99,"vect",0
833.99,"vfish",0
833.99,"vunk",0
833.99,"scav",0
833.99,"fruit",100
833.99,"nect",0
833.99,"seed",0
833.99,"plant_o",0
760,"inv",0
760,"vend",0
760,"vect",0
760,"vfish",0
760,"vunk",0
760,"scav",0
760,"fruit",30
760,"nect",0
760,"seed",30
760,"plant_o",40
539,"inv",20
539,"vend",0
539,"vect",0
539,"vfish",0
539,"vunk",0
539,"scav",0
539,"fruit",30
539,"nect",0
539,"seed",10
539,"plant_o",40
495.82,"inv",10
495.82,"vend",0
495.82,"vect",0
495.82,"vfish",0
495.82,"vunk",0
495.82,"scav",0
495.82,"fruit",70
495.82,"nect",0
495.82,"seed",0
495.82,"plant_o",20
547.72,"inv",0
547.72,"vend",0
547.72,"vect",0
547.72,"vfish",0
547.72,"vunk",0
547.72,"scav",0
547.72,"fruit",90
547.72,"nect",0
547.72,"seed",10
547.72,"plant_o",0
520,"inv",0
520,"vend",0
520,"vect",0
520,"vfish",0
520,"vunk",0
520,"scav",0
520,"fruit",100
520,"nect",0
520,"seed",0
520,"plant_o",0
578.6,"inv",0
578.6,"vend",0
578.6,"vect",0
578.6,"vfish",0
578.6,"vunk",0
578.6,"scav",0
578.6,"fruit",60
578.6,"nect",0
578.6,"seed",0
578.6,"plant_o",40
806.71,"inv",0
806.71,"vend",0
806.71,"vect",0
806.71,"vfish",0
806.71,"vunk",0
806.71,"scav",0
806.71,"fruit",100
806.71,"nect",0
806.71,"seed",0
